Number,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,LF,GWP
36,C(C(C(F)(F)F)(F)F)F,0.442388325,-0.138171478,0.39405,152.037,2.1535,16.977,9,46.46234767,4.144726367,90.96632017,1.127104798,3.130333768
37,C(C(C(F)(F)F)(F)F)O,0.402461134,-0.13416049,0.3498,150.046,1.1763,18.0878,9,47.09104602,4.144726367,94.8664547,-0.326979093,1.53529412
38,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,-0.09893422,0.37426,252.051,3.4225,26.849,15,75.85437351,4.939401424,210.8330875,1.230448921,3.204119983
39,C(C(C(F)(F)F)F)F,0.441109306,-0.135181198,0.38883,134.047,1.8563,16.926,8,42.29681227,3.623281004,64.56425892,0.505149978,2.511883361
40,C(C(C(F)F)(F)F)F,0.425993591,-0.144049611,0.38625,134.047,1.8563,16.926,8,42.29681227,3.708324167,68.07403392,0.819543936,2.895974732
41,C(C(C(F)F)(F)F)O,0.391070215,-0.137037425,0.34576,132.056,0.8791,18.0368,8,42.92551062,3.708324167,71.6836744,-0.59345982,1.158362492
42,C(C(C(F)F)(F)F)OC(F)F,0.41273935,-0.139536222,0.38321,182.063,2.126,22.907,11,57.94083502,3.729270365,113.1499106,0.544068044,2.684845362
43,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,-0.0206872,0.26619,203.83,3.1882,31.09,8,64.64832886,4.020391543,67.01955001,1.716003344,3.550228353
44,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,-0.02413213,0.26783,187.375,2.9189,26.345,8,58.51059803,4.020391543,67.509775,1.740362689,3.59439255
45,C(C(Cl)Cl)(F)F,0.41720555,-0.06150521,0.29595,134.94,2.0552,21.498,6,44.0417964,2.993497243,30.52932501,0.049218023,1.847572659
46,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,-0.02880397,0.26726,185.84,2.891,31.039,7,60.48279345,3.541196965,55.20035948,0.045322979,1.765668555
47,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,-0.02792182,0.28124,203.83,3.1882,31.09,8,64.64832886,4.020391543,67.01955001,1.803457116,3.664641976
48,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,-0.04029044,0.29286,187.375,2.9189,26.345,8,58.51059803,4.020391543,67.509775,1.968482949,3.814247596
49,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,-0.04854384,0.29392,170.92,2.6496,21.6,8,52.37286721,4.020391543,67.01955001,2.021189299,3.870403905
50,C(C(F)(Cl)Cl)(F)Cl,0.40705172,-0.03901046,0.28215,169.385,2.6217,26.294,7,54.34506263,3.541196965,56.44547197,0.491361694,2.389166084
51,C(C(F)(Cl)Cl)F,0.41872573,-0.05778599,0.29288,134.94,2.0568,21.52,6,44.0417964,3.168489873,39.30296891,0.612783857,2.534026106
52,C(C(F)(F)Br)(F)(F)Br,0.39522931,-0.01531468,0.24622,259.822,2.9618,27.748,8,59.50142997,4.020391543,67.01955001,1.447158031,3.336459734
53,C(C(F)(F)Cl)(Cl)Cl,0.40670093,-0.04148207,0.28432,169.385,2.6217,26.294,7,54.34506263,3.541196965,56.44547197,-0.045757491,1.751279104
54,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,-0.0657485,0.32408,170.92,2.6496,21.6,8,52.37286721,4.020391543,67.01955001,2.276461804,3.974511693
55,C(C(F)(F)Cl)(F)(F)F,0.4565249,-0.08459308,0.33644,154.465,2.3803,16.855,8,46.23513638,4.020391543,65.40990953,2.73239376,3.982271233
56,C(C(F)(F)Cl)(F)Cl,0.42559675,-0.0689971,0.31698,152.93,2.3524,21.549,7,48.2073318,3.541196965,56.44547197,0.602059991,2.596597096
57,C(C(F)(F)Cl)(F)F,0.441424512,-0.089009338,0.33465,136.475,2.0831,16.804,7,42.06960098,3.541196965,55.20035948,1.230448921,3.315970345
58,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,-0.145627378,0.42021,188.017,2.7463,17.057,11,54.79341848,4.748408578,120.3966103,3.414973348,3.968015714
59,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,-0.135396352,0.41225,170.027,2.4491,17.006,10,50.62788308,4.231132186,93.00007685,1.556302501,3.556302501
60,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,-0.137798679,0.372,168.036,1.4719,18.1168,10,51.25658143,4.231132186,97.1417863,0.278753601,2.31386722
61,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,-0.137798679,0.372,168.036,1.4719,18.1168,10,51.25658143,4.231132186,97.1417863,0.278753601,2.31386722
62,C(C(F)(F)F)(Cl)Br,0.40330832,-0.03906782,0.25572,197.381,2.5085,24.623,7,51.77161318,3.541196965,58.44547197,0,1.653212514
63,C(C(F)(F)F)(Cl)Cl,0.42308256,-0.05666273,0.29568,152.93,2.3524,21.549,7,48.2073318,3.541196965,56.44547197,0.113943352,1.95616843
64,C(C(F)(F)F)(F)(F)F,0.494092245,-0.191544565,0.47485,138.01,2.111,12.11,8,40.09740556,4.020391543,61.509775,4,4.093421685
65,C(C(F)(F)F)(F)Br,0.41074817,-0.06402068,0.27328,180.926,2.2392,19.878,7,45.63388236,3.541196965,55.20035948,0.462397998,2.303196057
66,C(C(F)(F)F)(F)Cl,0.434961906,-0.090618587,0.32506,136.475,2.0831,16.804,7,42.06960098,3.541196965,55.20035948,0.770852012,2.775974331
67,C(C(F)(F)F)(F)F,0.466143167,-0.182417438,0.43772,120.02,1.8138,12.059,7,35.93187016,3.541196965,51.590719,1.477121255,3.572871602
68,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,-0.11831992,0.41176,286.04,3.6513,27.985,17,85.13345415,5.044655518,262.0158056,1.773786445,3.821513528
69,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,-0.158402893,0.44026,186.026,2.3807,18.091,11,55.74142831,3.986683496,122.6278258,1.738780558,3.876217841
70,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,-0.07575042,0.31563,184.491,2.3528,22.785,10,57.71362373,3.734823721,101.5564106,0.544068044,2.731588765
71,C(C(F)(F)F)(OC(F)F)F,0.449640889,-0.162287933,0.43354,168.036,2.0835,18.04,10,51.5758929,3.734823721,97.65627611,1.149219113,3.413299764
72,C(C(F)(F)F)Br,0.40375793,-0.07171444,0.27033,162.936,1.9436,19.849,6,41.46834696,3.168489873,38.54808141,0.505149978,2.247973266
73,C(C(F)(F)F)C(F)(F)F,0.475636481,-0.161763272,0.46237,152.037,2.5011,16.727,9,46.46234767,3.746417931,73.45654517,2.328379603,3.939019776
74,C(C(F)(F)F)Cl,0.431566028,-0.096790179,0.31956,118.485,1.7875,16.775,6,37.90406558,3.168489873,38.54808141,0.662757832,2.588831726
75,C(C(F)(F)F)F,0.465805406,-0.167768408,0.42813,102.03,1.5182,12.03,6,31.76633475,3.168489873,35.30296891,1.146128036,3.184691431
