Number,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,LF,GWP
113,C(CO)C(F)(F)F,0.392805693,-0.143236939,0.34552,114.066,0.9311,17.7578,7,38.75997522,3.154490065,48.63193445,-1.387216143,-0.207608311
114,C(F)(Cl)(Cl)Cl,0.41484832,-0.02017459,0.26004,137.368,2.2836,21.398,5,43.81458511,3.023715784,22.36452798,1.716003344,3.794488047
115,C(F)(Cl)Cl,0.4224273,-0.06286567,0.29459,102.923,1.7171,16.602,4,33.51131888,2.323790008,10.7548875,0.230448921,2.204119983
116,C(F)(F)(Br)Br,0.39051257,-0.01953755,0.22834,209.815,2.3265,22.801,5,44.80541704,3.023715784,23.11941548,0.397940009,2.334453751
117,C(F)(F)(Cl)Br,0.41649533,-0.03301127,0.24998,165.364,2.1704,19.727,5,41.24113567,3.023715784,25.11941548,1.204119983,3.285557309
118,C(F)(F)(Cl)Cl,0.43204057,-0.05132536,0.29035,120.913,2.0143,16.653,5,37.67685429,3.023715784,23.11941548,2.008600172,4.096910013
119,C(F)(F)(F)Br,0.42967108,-0.06963154,0.28013,148.909,1.9011,14.982,5,35.10340484,3.023715784,22.36452798,1.857332496,3.857332496
120,C(F)(F)(F)Cl,0.46668444,-0.100428753,0.34132,104.458,1.745,11.908,5,31.53912346,3.023715784,22.36452798,2.806179974,4.209515015
121,C(F)(F)(F)F,0.552391616,-0.300664529,0.60756,88.003,1.4757,7.163,5,25.40139264,3.023715784,19.11941548,4.698970004,3.868056362
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.48719863,-0.01694857,0.31006,196.062,3.8047,19.186,10,49.53630294,5.137570367,139.3579163,2.903089987,4.267171728
123,C(F)(F)Br,0.41649525,-0.07931005,0.28107,130.919,1.6039,14.931,4,30.93786944,2.323790008,10.7548875,0.69019608,2.579783597
124,C(F)(F)Cl,0.450858998,-0.107018621,0.33856,86.468,1.4478,11.857,4,27.37358806,2.323790008,10.7548875,1.075546961,3.292256071
125,C(F)(F)F,0.513551347,-0.220811165,0.50549,70.013,1.1785,7.112,4,21.23585724,2.323790008,8,2.357934847,4.164352856
126,C(F)Cl,0.422616145,-0.114412705,0.32476,68.478,1.1522,11.828,3,23.20805266,1.632993162,4.754887502,0.079181246,1.899820502
